place_id,name,il,district,address,website,rating,review_count,detected,server_header,x_powered_by,status_code,error,first_seen,last_seen,is_new
ChIJp2-mQ3p5iEAR-0CT6lzLQDA,Özel Atakum Ağız Ve Diş Sağlığı Polikliniği,Samsun,Atakum,"Cumhuriyet, Alparslan Blv. Erman Apt No:6 Kat:1 No:6 Kat:1, 55200 Atakum/Samsun, Türkiye",https://www.dtermanurer.com/,4.8,78,Bilinmiyor / özel kod,nginx,,200,,2026-07-03,2026-07-06,False
ChIJv77J6rZ5iEARP9Y8N6L5_CQ,Özel Dream Smile - Diş Kliniği,Samsun,Atakum,"Atakent, İsmet İnönü Cd. No:40, 55270 Atakum/Samsun, Türkiye",https://www.samsundisci.com.tr/,4.6,67,,,,,"HTTPSConnectionPool(host='www.samsundisci.com.tr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.samsundisci.com.tr', port=443): Failed to resolve 'www.samsundisci.com.tr' ([Errno -2] Name or service not known)""))",2026-07-03,2026-07-06,False
ChIJtQ_knFB5iEARa-nIWIzY73Q,Özel Etiler Ağız ve Diş Sağlığı Polikliniği - Samsun Diş Klinikleri - Samsun Atakum Diş Kliniği,Samsun,Atakum,"Mimarsinan, Atatürk Bl. no:283B, 55200 Atakum/Samsun, Türkiye",https://ozeletilerdis.com/,4.9,59,,,,,"HTTPSConnectionPool(host='ozeletilerdis.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='ozeletilerdis.com', port=443): Failed to resolve 'ozeletilerdis.com' ([Errno -2] Name or service not known)""))",2026-07-03,2026-07-06,False
ChIJzWuubgF5iEARccq6DSx81Uc,Özel Harbalioğlu Ağız Ve Diş Sağlığı Polikliniği (Atakum/Samsun),Samsun,Atakum,"Mimarsinan, 144. Sk. Albayrak Apt No:33 A Blok Kat:1, 55200 Atakum/Samsun, Türkiye",http://www.harbalioglu.com/,5,44,WordPress,,,200,,2026-07-03,2026-07-06,False
ChIJn9KS-Bzhh0ARr_bXS7XgZ88,Özel Life Dental Ağız ve Diş Sağlığı Polikliniği,Samsun,Atakum,"Körfez, Atatürk 5.Kısım Bulvarı No:120/5 Kat:4, 55200 Atakum/Samsun, Türkiye",,5,16,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJsTrh-AN5iEARpRn-lSh5MWQ,Özel Sundent Ağız ve Diş Sağlığı Polikliniği (Diş Hekimi Gülşah Akarsu Kiper),Samsun,Atakum,"Mevlana, Abdullah Gül Blv No:99, 55020 Atakum/Samsun, Türkiye",http://www.sundentdis.com/,4.6,92,WordPress,LiteSpeed,PHP/8.2.30,200,,2026-07-03,2026-07-06,False
ChIJuUs1jY15iEARF79WkAd--Gw,Özel Ömürevleri Ağız Ve Diş Sağlığı Polikliniği,Samsun,Atakum,"Cumhuriyet, Recep Tayyip Erdoğan Blv No:22/C, 55200 Atakum/Samsun, Türkiye",https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LMwzsDQzrjQxYLRSNagwMbCwMLe0SLFIMTY1SUqytDKoMEtOszBPNTC3NDA1S0ozNPeSOrwt9_CeotSynNSiTIWUzKPzFbJzMvMyj8zPBADFiRsg&q=%C3%B6m%C3%BCrevleri+di%C5%9F+klini%C4%9Fi&oq=%C3%B6m%C3%BCrevleri&aqs=chrome.1.69i57j46l3j0j69i61l2j69i60.3168j0j7&sourceid=chrome&ie=UTF-8,4.8,82,Bilinmiyor / özel kod,gws,,200,,2026-07-03,2026-07-06,False
ChIJ5_PxJdp5iEARb1JhD57UvZg,İlgi Dent | Samsun Diş Kliniği,Samsun,Atakum,"Mimarsinan, 160. Sk. No:26-1 Kat: 2, 55200 Atakum/Samsun, Türkiye",https://dentilgi.com/,5,16,WordPress,LiteSpeed,PHP/8.3.31,200,,2026-07-03,2026-07-06,False
ChIJuaoxQbB_iEARB7efPiaKPg8,İstanbul Tuning ATAKUM & Araç Dönüşüm & PPF KAPLAMA & Cam Filmi & Pasta Cila & MULTİMEDYA,Samsun,Atakum,"Körfez, Atatürk 5. Kısım Bulvarı No51 B , 55200, 55200 Atakum/Samsun, Türkiye",https://www.istanbultuningsamsun.com.tr/iletisim.html,4.6,109,,,,,"HTTPSConnectionPool(host='www.istanbultuningsamsun.com.tr', port=443): Max retries exceeded with url: /iletisim.html (Caused by NameResolutionError(""HTTPSConnection(host='www.istanbultuningsamsun.com.tr', port=443): Failed to resolve 'www.istanbultuningsamsun.com.tr' ([Errno -2] Name or service not known)""))",2026-07-03,2026-07-03,False
ChIJrTaJC9F3iEARiQsl0whhTP4,Ayvacik Aile Sagligi Merkezi,Samsun,Ayvacık,"Orhangazi, Molla Gürani Sok No:16, 55550 Ayvacık/Samsun, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJS6qNnX_3h0ARn0TYfoVNFGc,Ayvacik District State Hospital,Samsun,Ayvacık,"Eyüpsultan, Mustafa Güler Sk. No:5, 55550 Ayvacık/Samsun, Türkiye",http://www.samsunayvacikdh.saglik.gov.tr/,3.3,19,,,,,"HTTPConnectionPool(host='www.samsunayvacikdh.saglik.gov.tr', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='www.samsunayvacikdh.saglik.gov.tr', port=80): Failed to resolve 'www.samsunayvacikdh.saglik.gov.tr' ([Errno -2] Name or service not known)""))",2026-07-03,2026-07-06,False
ChIJNRe78Jn3h0ARn7NzttJ_qEY,SAMSUN İL SAĞLIK MÜDÜRLÜĞÜ AYVACIK MERKEZ AİLE SAĞLIĞI MERKEZİ,Samsun,Ayvacık,"Ortakapi Mah, Faikbey Cad No:12 |, 55550 Ayvacık/Samsun, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJAYELhZr3h0AR_J-RQwo50lA,Saklı Cennet Ayvacık,Samsun,Ayvacık,"Orhangazi, 55550 Ayvacık/Samsun, Türkiye",,4.6,214,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJ2WNl43eZiEARWcNdjbdLgdk,Bafra Ağız ve Diş Sağlığı Hastanesi,Samsun,Bafra,"İshaklı, Molla Osman Sk. No:41, 55400 Bafra/Samsun, Türkiye",https://www.bafraadsm.saglik.gov.tr/,2.8,43,,,,,"HTTPSConnectionPool(host='www.bafraadsm.saglik.gov.tr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.bafraadsm.saglik.gov.tr', port=443): Failed to resolve 'www.bafraadsm.saglik.gov.tr' ([Errno -2] Name or service not known)""))",2026-07-03,2026-07-06,False
